ICAO24,call_sign,departure_time,departure_date,arrival_time,arrival_date,destination_airport_ICAO,id,departure_airport_ICAO
4b25ea,HBOJI,2026-01-05T10:21:55Z,2026-01-05,2026-01-05T11:10:18Z,2026-01-05,LSGL,4b25ea_2026-01-05 11:21:55,LSGL
4b1bdd,HBKOJ,2026-01-05T10:40:53Z,2026-01-05,2026-01-05T11:40:57Z,2026-01-05,LSGL,4b1bdd_2026-01-05 11:40:53,LSGL
4b25ea,HBOJI,2026-01-05T12:38:03Z,2026-01-05,2026-01-05T13:18:15Z,2026-01-05,LSGL,4b25ea_2026-01-05 13:38:03,LSGL
4b27bf,HBPBJ,2026-01-05T12:40:23Z,2026-01-05,2026-01-05T13:00:37Z,2026-01-05,LSGL,4b27bf_2026-01-05 13:40:23,LSGG
4b0f7e,HBFWO,2026-01-05T12:55:19Z,2026-01-05,2026-01-05T13:07:51Z,2026-01-05,LSGL,4b0f7e_2026-01-05 13:55:19,LSGG
4627c1,OHPBL,2026-01-05T13:06:16Z,2026-01-05,2026-01-05T13:39:07Z,2026-01-05,LSGL,4627c1_2026-01-05 14:06:16,LSGL
46316e,FSF501A,2026-01-05T13:21:17Z,2026-01-05,2026-01-05T14:23:08Z,2026-01-05,LSGL,46316e_2026-01-05 14:21:17,LFPB
4b1bdd,HBKOJ,2026-01-05T14:09:08Z,2026-01-05,2026-01-05T14:45:09Z,2026-01-05,LSGL,4b1bdd_2026-01-05 15:09:08,LSZB
4b413f,HBYSL,2026-01-05T14:11:11Z,2026-01-05,2026-01-05T14:32:29Z,2026-01-05,LSGL,4b413f_2026-01-05 15:11:11,LSGN
4b1af2,HBKFI,2026-01-05T14:45:24Z,2026-01-05,2026-01-05T15:01:44Z,2026-01-05,LSGL,4b1af2_2026-01-05 15:45:24,LSGY
4b3303,RGA04,2026-01-05T15:18:02Z,2026-01-05,2026-01-05T15:34:15Z,2026-01-05,LSGL,4b3303_2026-01-05 16:18:02,LSGC
4b3e2d,AGV01,2026-01-05T20:05:03Z,2026-01-05,2026-01-05T20:15:54Z,2026-01-05,LSGL,4b3e2d_2026-01-05 21:05:03,NA
