ICAO24,call_sign,departure_time,departure_date,arrival_time,arrival_date,departure_airport_ICAO,destination_airport_ICAO,id
4b23df,HBNPF,2023-03-18T09:31:25Z,2023-03-18,2023-03-18T09:48:17Z,2023-03-18,LSGL,LSGL,4b23df_2023-03-18 10:31:25
4b23df,HBNPF,2023-03-18T10:06:47Z,2023-03-18,2023-03-18T10:19:35Z,2023-03-18,LSGL,LSGL,4b23df_2023-03-18 11:06:47
4b43b2,RGA18,2023-03-18T13:45:39Z,2023-03-18,2023-03-18T13:47:21Z,2023-03-18,LSGL,LSGL,4b43b2_2023-03-18 14:45:39
4b23df,HBNPF,2023-03-18T14:07:43Z,2023-03-18,2023-03-18T14:30:44Z,2023-03-18,LSGL,LSGL,4b23df_2023-03-18 15:07:43
