longitude,latitude,requested_time,geo_altitude,velocity,special_purpose_indicator,origin_country,id,arrival_date,departure_date
3.98881178635817,48.4254913330078,1664464100,5699.76,100.457623176213,FALSE,NA,4b0f89_2022-09-29 16:47:20,2022-09-29,2022-09-29
4.06198354867788,48.3873596191406,1664464160,5715,129.86527169221,FALSE,NA,4b0f89_2022-09-29 16:47:20,2022-09-29,2022-09-29
4.13122076737253,48.3347695560779,1664464220,5722.62,137.640451191034,FALSE,NA,4b0f89_2022-09-29 16:47:20,2022-09-29,2022-09-29
4.19107290414663,48.2704010009766,1664464280,5722.62,141.889586663835,FALSE,NA,4b0f89_2022-09-29 16:47:20,2022-09-29,2022-09-29
4.25163670590049,48.2050750215175,1664464340,5722.62,142.763539725735,FALSE,NA,4b0f89_2022-09-29 16:47:20,2022-09-29,2022-09-29
4.31130981445312,48.1403503417969,1664464400,5722.62,143.909215089859,FALSE,NA,4b0f89_2022-09-29 16:47:20,2022-09-29,2022-09-29
4.37298114483173,48.0733787407309,1664464460,5722.62,143.909215089859,FALSE,NA,4b0f89_2022-09-29 16:47:20,2022-09-29,2022-09-29
4.43425105168269,48.006669383938,1664464520,5722.62,143.909215089859,FALSE,NA,4b0f89_2022-09-29 16:47:20,2022-09-29,2022-09-29
4.49474628155048,47.9408445196637,1664464580,5730.24,145.402115797981,FALSE,NA,4b0f89_2022-09-29 16:47:20,2022-09-29,2022-09-29
4.55987548828125,47.8757171630859,1664464640,5730.24,145.820147743485,FALSE,NA,4b0f89_2022-09-29 16:47:20,2022-09-29,2022-09-29
4.62482158954327,47.8101258358713,1664464700,5730.24,146.533483408029,FALSE,NA,4b0f89_2022-09-29 16:47:20,2022-09-29,2022-09-29
4.68975360576923,47.7442078671213,1664464760,5730.24,146.248747623743,FALSE,NA,4b0f89_2022-09-29 16:47:20,2022-09-29,2022-09-29
4.75433349609375,47.6785226595604,1664464820,5730.24,146.248747623743,FALSE,NA,4b0f89_2022-09-29 16:47:20,2022-09-29,2022-09-29
4.81877253605769,47.6127908997616,1664464880,5737.86,146.248747623743,FALSE,NA,4b0f89_2022-09-29 16:47:20,2022-09-29,2022-09-29
4.88266754150391,47.5473175048828,1664464940,5737.86,145.535834814015,FALSE,NA,4b0f89_2022-09-29 16:47:20,2022-09-29,2022-09-29
4.94638296274038,47.4819791114936,1664465000,5737.86,145.535834814015,FALSE,NA,4b0f89_2022-09-29 16:47:20,2022-09-29,2022-09-29
5.00990647536058,47.4165732173596,1664465060,5737.86,145.252787399592,FALSE,NA,4b0f89_2022-09-29 16:47:20,2022-09-29,2022-09-29
5.07314828725961,47.3512138754635,1664465120,5737.86,144.110447621122,FALSE,NA,4b0f89_2022-09-29 16:47:20,2022-09-29,2022-09-29
5.13569641113281,47.2864379882812,1664465180,5737.86,144.110447621122,FALSE,NA,4b0f89_2022-09-29 16:47:20,2022-09-29,2022-09-29
5.19776916503906,47.2220306396484,1664465240,5737.86,142.968236003879,FALSE,NA,4b0f89_2022-09-29 16:47:20,2022-09-29,2022-09-29
