ICAO24,call_sign,departure_time,departure_date,arrival_time,arrival_date,departure_airport_ICAO,destination_airport_ICAO,id
4b1af2,HBKFI,2025-11-29T08:16:09Z,2025-11-29,2025-11-29T08:59:19Z,2025-11-29,LSGL,LSGL,4b1af2_2025-11-29 09:16:09
4b1af2,HBKFI,2025-11-29T09:58:01Z,2025-11-29,2025-11-29T10:53:40Z,2025-11-29,LSGL,LSGL,4b1af2_2025-11-29 10:58:01
461fbd,FSF511A,2025-11-29T10:21:03Z,2025-11-29,2025-11-29T10:33:27Z,2025-11-29,LSGL,LSGG,461fbd_2025-11-29 11:21:03
4b25ea,HBOJI,2025-11-29T10:31:18Z,2025-11-29,2025-11-29T10:50:15Z,2025-11-29,LSGL,LSGB,4b25ea_2025-11-29 11:31:18
4b3303,RGA04,2025-11-29T10:53:04Z,2025-11-29,2025-11-29T11:06:49Z,2025-11-29,LSGL,LSGE,4b3303_2025-11-29 11:53:04
4b1af2,HBKFI,2025-11-29T13:42:31Z,2025-11-29,2025-11-29T14:45:20Z,2025-11-29,LSGL,LSGL,4b1af2_2025-11-29 14:42:31
4b27c0,HBPBK,2025-11-29T13:56:10Z,2025-11-29,2025-11-29T14:35:22Z,2025-11-29,LSGL,LSGL,4b27c0_2025-11-29 14:56:10
4b34c2,HBTZM,2025-11-29T14:36:11Z,2025-11-29,2025-11-29T15:13:22Z,2025-11-29,LSGL,LSPN,4b34c2_2025-11-29 15:36:11
4b1bdd,HBKOJ,2025-11-29T14:57:51Z,2025-11-29,2025-11-29T15:29:06Z,2025-11-29,LSGL,LSGL,4b1bdd_2025-11-29 15:57:51
4b27c0,HBPBK,2025-11-29T15:24:15Z,2025-11-29,2025-11-29T16:01:23Z,2025-11-29,LSGL,LSGL,4b27c0_2025-11-29 16:24:15
