ICAO24,call_sign,departure_time,departure_date,arrival_time,arrival_date,departure_airport_ICAO,destination_airport_ICAO,id
46208f,FSF994U,2023-04-15T06:04:12Z,2023-04-15,2023-04-15T07:37:24Z,2023-04-15,LSGL,EHAM,46208f_2023-04-15 08:04:12
461838,FSF873G,2023-04-15T09:10:42Z,2023-04-15,2023-04-15T09:55:27Z,2023-04-15,LSGL,LSZB,461838_2023-04-15 11:10:42
4b2964,HBPRO,2023-04-15T12:33:13Z,2023-04-15,2023-04-15T13:58:04Z,2023-04-15,LSGL,LSGL,4b2964_2023-04-15 14:33:13
4b4279,REGA15,2023-04-15T15:45:15Z,2023-04-15,2023-04-15T16:02:39Z,2023-04-15,LSGL,LSGG,4b4279_2023-04-15 17:45:15
