ICAO24,call_sign,departure_time,departure_date,arrival_time,arrival_date,departure_airport_ICAO,id,destination_airport_ICAO
4627c1,FSF132U,2023-02-10T07:04:24Z,2023-02-10,2023-02-10T07:58:57Z,2023-02-10,LSGL,4627c1_2023-02-10 08:04:24,LFMN
4b28e3,HBPMP,2023-02-10T07:28:04Z,2023-02-10,2023-02-10T08:04:53Z,2023-02-10,LSGL,4b28e3_2023-02-10 08:28:04,LSGL
4b1bdd,HBKOJ,2023-02-10T07:57:37Z,2023-02-10,2023-02-10T09:04:21Z,2023-02-10,LSGL,4b1bdd_2023-02-10 08:57:37,LSZL
4b43b1,RGAQN,2023-02-10T08:53:48Z,2023-02-10,2023-02-10T10:24:39Z,2023-02-10,LSGL,4b43b1_2023-02-10 09:53:48,LSGL
4b28e3,HBPMP,2023-02-10T09:35:37Z,2023-02-10,2023-02-10T10:08:43Z,2023-02-10,LSGL,4b28e3_2023-02-10 10:35:37,LSGL
4b23e0,HBNPG,2023-02-10T09:41:04Z,2023-02-10,2023-02-10T09:59:20Z,2023-02-10,LSGL,4b23e0_2023-02-10 10:41:04,LSGE
391a38,HBOJI,2023-02-10T09:48:12Z,2023-02-10,2023-02-10T10:03:55Z,2023-02-10,LSGL,391a38_2023-02-10 10:48:12,LSGK
4b06f4,HBCQM,2023-02-10T10:41:49Z,2023-02-10,2023-02-10T11:17:27Z,2023-02-10,LSGL,4b06f4_2023-02-10 11:41:49,LSZG
4b2650,HBONG,2023-02-10T11:48:34Z,2023-02-10,2023-02-10T12:07:48Z,2023-02-10,LSGL,4b2650_2023-02-10 12:48:34,LSGB
a4330b,N37SJ,2023-02-10T12:10:05Z,2023-02-10,2023-02-10T12:21:33Z,2023-02-10,LSGL,a4330b_2023-02-10 13:10:05,LSGK
460cb6,FSF910C,2023-02-10T12:11:53Z,2023-02-10,2023-02-10T13:06:58Z,2023-02-10,LSGL,460cb6_2023-02-10 13:11:53,LFMD
4b28e3,HBPMP,2023-02-10T12:25:15Z,2023-02-10,2023-02-10T13:21:27Z,2023-02-10,LSGL,4b28e3_2023-02-10 13:25:15,LSGL
4b07df,HBCZN,2023-02-10T13:24:09Z,2023-02-10,2023-02-10T13:48:07Z,2023-02-10,LSGL,4b07df_2023-02-10 14:24:09,LSZQ
391a38,HBOJI,2023-02-10T13:27:36Z,2023-02-10,2023-02-10T14:04:29Z,2023-02-10,LSGL,391a38_2023-02-10 14:27:36,LSZQ
398668,FHBTI,2023-02-10T13:32:30Z,2023-02-10,2023-02-10T14:11:53Z,2023-02-10,LSGL,398668_2023-02-10 14:32:30,LFLI
4b2964,HBPRO,2023-02-10T13:34:03Z,2023-02-10,2023-02-10T14:30:40Z,2023-02-10,LSGL,4b2964_2023-02-10 14:34:03,NA
4b4414,HBZUI,2023-02-10T14:09:10Z,2023-02-10,2023-02-10T14:21:42Z,2023-02-10,LSGL,4b4414_2023-02-10 15:09:10,LSGK
4b28e3,HBPMP,2023-02-10T14:19:39Z,2023-02-10,2023-02-10T15:09:33Z,2023-02-10,LSGL,4b28e3_2023-02-10 15:19:39,LSGL
460cb6,FSF159F,2023-02-10T15:45:41Z,2023-02-10,2023-02-10T16:19:23Z,2023-02-10,LSGL,460cb6_2023-02-10 16:45:41,NA
4b2858,HBPHG,2023-02-10T16:14:11Z,2023-02-10,2023-02-10T16:53:10Z,2023-02-10,LSGL,4b2858_2023-02-10 17:14:11,LSMM
4b43b1,RGA04,2023-02-10T17:23:32Z,2023-02-10,2023-02-10T17:44:48Z,2023-02-10,LSGL,4b43b1_2023-02-10 18:23:32,LSGL
4b43b1,RGA04,2023-02-10T17:25:18Z,2023-02-10,2023-02-10T17:44:57Z,2023-02-10,LSGL,4b43b1_2023-02-10 18:25:18,NA
