ICAO24,call_sign,departure_time,departure_date,arrival_time,arrival_date,departure_airport_ICAO,destination_airport_ICAO,id
461fbd,FSF506L,2025-12-26T09:58:46Z,2025-12-26,2025-12-26T11:05:44Z,2025-12-26,LFTH,LSGL,461fbd_2025-12-26 10:58:46
4b3303,RGA04,2025-12-26T11:17:42Z,2025-12-26,2025-12-26T11:37:29Z,2025-12-26,LSTO,LSGL,4b3303_2025-12-26 12:17:42
46316e,FSF432A,2025-12-26T11:19:41Z,2025-12-26,2025-12-26T12:23:26Z,2025-12-26,EDFE,LSGL,46316e_2025-12-26 12:19:41
4b32fe,RGA15,2025-12-26T15:32:26Z,2025-12-26,2025-12-26T15:47:58Z,2025-12-26,LSGB,LSGL,4b32fe_2025-12-26 16:32:26
