ICAO24,call_sign,departure_time,departure_date,arrival_time,arrival_date,departure_airport_ICAO,id,destination_airport_ICAO
4b1bdd,HBKOJ,2026-02-07T07:11:14Z,2026-02-07,2026-02-07T07:28:25Z,2026-02-07,LSGL,4b1bdd_2026-02-07 08:11:14,LSGL
4b1af2,HBKFI,2026-02-07T08:33:15Z,2026-02-07,2026-02-07T09:20:29Z,2026-02-07,LSGL,4b1af2_2026-02-07 09:33:15,LSGL
4b25ea,HBOJI,2026-02-07T09:31:12Z,2026-02-07,2026-02-07T09:57:08Z,2026-02-07,LSGL,4b25ea_2026-02-07 10:31:12,LSGE
4b1bdd,HBKOJ,2026-02-07T09:51:50Z,2026-02-07,2026-02-07T10:05:57Z,2026-02-07,LSGL,4b1bdd_2026-02-07 10:51:50,LSGL
4b1af2,HBKFI,2026-02-07T10:21:30Z,2026-02-07,2026-02-07T10:51:20Z,2026-02-07,LSGL,4b1af2_2026-02-07 11:21:30,LSGL
a34bb1,N311MX,2026-02-07T10:48:44Z,2026-02-07,2026-02-07T11:35:58Z,2026-02-07,LSGL,a34bb1_2026-02-07 11:48:44,NA
4b1bad,HBKMN,2026-02-07T11:11:07Z,2026-02-07,2026-02-07T11:24:21Z,2026-02-07,LSGL,4b1bad_2026-02-07 12:11:07,LSGB
424c76,MCITY,2026-02-07T13:18:45Z,2026-02-07,2026-02-07T15:18:21Z,2026-02-07,LSGL,424c76_2026-02-07 14:18:45,EGGP
4b1bdd,HBKOJ,2026-02-07T13:21:34Z,2026-02-07,2026-02-07T13:39:31Z,2026-02-07,LSGL,4b1bdd_2026-02-07 14:21:34,LSGL
4b1af2,HBKFI,2026-02-07T13:24:32Z,2026-02-07,2026-02-07T13:40:59Z,2026-02-07,LSGL,4b1af2_2026-02-07 14:24:32,LSGL
4b303f,HBSHB,2026-02-07T13:26:30Z,2026-02-07,2026-02-07T14:32:46Z,2026-02-07,LSGL,4b303f_2026-02-07 14:26:30,LSZR
4b3303,RGA04,2026-02-07T14:11:16Z,2026-02-07,2026-02-07T14:22:17Z,2026-02-07,LSGL,4b3303_2026-02-07 15:11:16,LSGB
4b28b1,HBPKR,2026-02-07T14:28:10Z,2026-02-07,2026-02-07T15:24:18Z,2026-02-07,LSGL,4b28b1_2026-02-07 15:28:10,LSGL
4b25ea,HBOJI,2026-02-07T14:56:20Z,2026-02-07,2026-02-07T15:46:38Z,2026-02-07,LSGL,4b25ea_2026-02-07 15:56:20,LSGL
4b1af2,HBKFI,2026-02-07T15:20:48Z,2026-02-07,2026-02-07T15:52:04Z,2026-02-07,LSGL,4b1af2_2026-02-07 16:20:48,LSGL
4b3303,RGA04,2026-02-07T21:21:11Z,2026-02-07,2026-02-07T21:23:13Z,2026-02-07,LSGL,4b3303_2026-02-07 22:21:11,NA
