ICAO24,call_sign,departure_time,departure_date,arrival_time,arrival_date,departure_airport_ICAO,id,destination_airport_ICAO
4b28b1,HBPKR,2026-01-17T09:21:51Z,2026-01-17,2026-01-17T10:15:28Z,2026-01-17,LSGL,4b28b1_2026-01-17 10:21:51,LSGC
4b1bdd,HBKOJ,2026-01-17T09:53:18Z,2026-01-17,2026-01-17T10:06:08Z,2026-01-17,LSGL,4b1bdd_2026-01-17 10:53:18,LSGL
4b32fe,RGA04,2026-01-17T10:37:35Z,2026-01-17,2026-01-17T10:49:59Z,2026-01-17,LSGL,4b32fe_2026-01-17 11:37:35,LSGB
4b3303,RGAIH,2026-01-17T10:44:57Z,2026-01-17,2026-01-17T11:14:20Z,2026-01-17,LSGL,4b3303_2026-01-17 11:44:57,LSGR
4856ed,PHBRA,2026-01-17T12:07:48Z,2026-01-17,2026-01-17T13:19:41Z,2026-01-17,LSGL,4856ed_2026-01-17 13:07:48,EBAW
4b25ea,HBOJI,2026-01-17T12:11:48Z,2026-01-17,2026-01-17T12:46:58Z,2026-01-17,LSGL,4b25ea_2026-01-17 13:11:48,LSZB
4b40c8,HBYNW,2026-01-17T13:58:09Z,2026-01-17,2026-01-17T15:02:05Z,2026-01-17,LSGL,4b40c8_2026-01-17 14:58:09,LSZF
4b4089,HBYLL,2026-01-17T14:00:31Z,2026-01-17,2026-01-17T15:16:30Z,2026-01-17,LSGL,4b4089_2026-01-17 15:00:31,LSZF
4b1bdd,HBKOJ,2026-01-17T14:34:44Z,2026-01-17,2026-01-17T15:17:22Z,2026-01-17,LSGL,4b1bdd_2026-01-17 15:34:44,LSGL
4b3302,RGA15,2026-01-17T15:29:10Z,2026-01-17,2026-01-17T15:46:49Z,2026-01-17,LSGL,4b3302_2026-01-17 16:29:10,LSGG
4b3302,RGA15,2026-01-17T15:29:20Z,2026-01-17,2026-01-17T15:47:28Z,2026-01-17,LSGL,4b3302_2026-01-17 16:29:20,NA
