ICAO24,call_sign,departure_time,departure_date,arrival_time,arrival_date,departure_airport_ICAO,id,destination_airport_ICAO
4b1af2,HBKFI,2026-02-22T07:35:19Z,2026-02-22,2026-02-22T09:11:39Z,2026-02-22,LSGL,4b1af2_2026-02-22 08:35:19,LFMV
4b25ea,HBOJI,2026-02-22T09:02:23Z,2026-02-22,2026-02-22T10:02:59Z,2026-02-22,LSGL,4b25ea_2026-02-22 10:02:23,LSGL
4b28b1,HBPKR,2026-02-22T09:26:49Z,2026-02-22,2026-02-22T10:50:18Z,2026-02-22,LSGL,4b28b1_2026-02-22 10:26:49,LSZG
4b2650,HBONG,2026-02-22T09:47:33Z,2026-02-22,2026-02-22T10:50:52Z,2026-02-22,LSGL,4b2650_2026-02-22 10:47:33,LSGL
461fbd,OHMAN,2026-02-22T10:10:59Z,2026-02-22,2026-02-22T12:07:29Z,2026-02-22,LSGL,461fbd_2026-02-22 11:10:59,EGKB
4b25ea,HBOJI,2026-02-22T10:35:40Z,2026-02-22,2026-02-22T10:55:28Z,2026-02-22,LSGL,4b25ea_2026-02-22 11:35:40,LSGE
4b3303,RGA04,2026-02-22T10:49:58Z,2026-02-22,2026-02-22T11:00:58Z,2026-02-22,LSGL,4b3303_2026-02-22 11:49:58,LSGB
4b3305,RGA18,2026-02-22T11:32:21Z,2026-02-22,2026-02-22T11:43:29Z,2026-02-22,LSGL,4b3305_2026-02-22 12:32:21,LSGB
4b27c0,HBPBK,2026-02-22T12:04:49Z,2026-02-22,2026-02-22T13:09:59Z,2026-02-22,LSGL,4b27c0_2026-02-22 13:04:49,LSZG
4b1b1b,HBKGX,2026-02-22T13:33:22Z,2026-02-22,2026-02-22T14:43:06Z,2026-02-22,LSGL,4b1b1b_2026-02-22 14:33:22,LSZF
4b25ea,HBOJI,2026-02-22T14:02:31Z,2026-02-22,2026-02-22T14:18:45Z,2026-02-22,LSGL,4b25ea_2026-02-22 15:02:31,LSGE
4b3303,RGA04,2026-02-22T14:20:37Z,2026-02-22,2026-02-22T14:40:59Z,2026-02-22,LSGL,4b3303_2026-02-22 15:20:37,LSGK
4b1b9d,HBKLX,2026-02-22T14:21:34Z,2026-02-22,2026-02-22T14:55:50Z,2026-02-22,LSGL,4b1b9d_2026-02-22 15:21:34,LSGL
4b1b9d,HBKLX,2026-02-22T15:10:38Z,2026-02-22,2026-02-22T15:20:42Z,2026-02-22,LSGL,4b1b9d_2026-02-22 16:10:38,LSGY
46316e,FSF109A,2026-02-22T15:38:03Z,2026-02-22,2026-02-22T16:23:49Z,2026-02-22,LSGL,46316e_2026-02-22 16:38:03,LIML
4b4271,AGV01,2026-02-22T17:14:04Z,2026-02-22,2026-02-22T17:24:47Z,2026-02-22,LSGL,4b4271_2026-02-22 18:14:04,LSGB
4b4271,AGV01,2026-02-22T17:14:20Z,2026-02-22,2026-02-22T17:24:47Z,2026-02-22,LSGL,4b4271_2026-02-22 18:14:20,NA
