ICAO24,call_sign,departure_time,departure_date,arrival_time,arrival_date,departure_airport_ICAO,destination_airport_ICAO,id
4b3303,RGA04,2025-12-20T10:19:11Z,2025-12-20,2025-12-20T10:55:14Z,2025-12-20,LSZB,LSGL,4b3303_2025-12-20 11:19:11
4d02bd,JFA00B,2025-12-20T11:09:53Z,2025-12-20,2025-12-20T11:37:49Z,2025-12-20,LFLE,LSGL,4d02bd_2025-12-20 12:09:53
4b28b1,HBPKR,2025-12-20T12:51:07Z,2025-12-20,2025-12-20T13:14:20Z,2025-12-20,LSGE,LSGL,4b28b1_2025-12-20 13:51:07
461fbd,OHMAN,2025-12-20T13:23:15Z,2025-12-20,2025-12-20T14:21:12Z,2025-12-20,LFLC,LSGL,461fbd_2025-12-20 14:23:15
4b1bdd,HBKOJ,2025-12-20T14:20:28Z,2025-12-20,2025-12-20T14:39:27Z,2025-12-20,LSGL,LSGL,4b1bdd_2025-12-20 15:20:28
4b1bdd,HBKOJ,2025-12-20T15:13:40Z,2025-12-20,2025-12-20T15:27:41Z,2025-12-20,LSGL,LSGL,4b1bdd_2025-12-20 16:13:40
