ICAO24,call_sign,departure_time,departure_date,arrival_time,arrival_date,departure_airport_ICAO,id,destination_airport_ICAO
4b1af2,HBKFI,2026-01-26T07:36:46Z,2026-01-26,2026-01-26T08:18:50Z,2026-01-26,LSGL,4b1af2_2026-01-26 08:36:46,LSGL
4b28b1,HBPKR,2026-01-26T09:08:43Z,2026-01-26,2026-01-26T10:09:16Z,2026-01-26,LSGL,4b28b1_2026-01-26 10:08:43,LSGL
4b25ea,HBOJI,2026-01-26T09:39:53Z,2026-01-26,2026-01-26T10:32:17Z,2026-01-26,LSGL,4b25ea_2026-01-26 10:39:53,LSGL
4b1af2,HBKFI,2026-01-26T10:12:08Z,2026-01-26,2026-01-26T10:27:11Z,2026-01-26,LSGL,4b1af2_2026-01-26 11:12:08,LSGL
4b28b1,HBPKR,2026-01-26T10:35:41Z,2026-01-26,2026-01-26T11:09:01Z,2026-01-26,LSGL,4b28b1_2026-01-26 11:35:41,LSGL
4b1bdd,HBKOJ,2026-01-26T11:19:08Z,2026-01-26,2026-01-26T11:49:44Z,2026-01-26,LSGL,4b1bdd_2026-01-26 12:19:08,LSGL
4b25ea,HBOJI,2026-01-26T12:24:40Z,2026-01-26,2026-01-26T12:52:23Z,2026-01-26,LSGL,4b25ea_2026-01-26 13:24:40,LSGL
4b1b9d,HBKLX,2026-01-26T12:43:00Z,2026-01-26,2026-01-26T13:06:24Z,2026-01-26,LSGL,4b1b9d_2026-01-26 13:43:00,LSGY
4b1bdd,HBKOJ,2026-01-26T12:49:24Z,2026-01-26,2026-01-26T13:22:07Z,2026-01-26,LSGL,4b1bdd_2026-01-26 13:49:24,LSGL
4b32fe,RGAIC,2026-01-26T13:16:20Z,2026-01-26,2026-01-26T13:55:29Z,2026-01-26,LSGL,4b32fe_2026-01-26 14:16:20,LSGT
4b25ea,HBOJI,2026-01-26T14:18:06Z,2026-01-26,2026-01-26T14:54:58Z,2026-01-26,LSGL,4b25ea_2026-01-26 15:18:06,LSGL
4b1bdd,HBKOJ,2026-01-26T14:39:34Z,2026-01-26,2026-01-26T15:51:20Z,2026-01-26,LSGL,4b1bdd_2026-01-26 15:39:34,LSGL
39d565,FHVLF,2026-01-26T15:11:15Z,2026-01-26,2026-01-26T16:44:50Z,2026-01-26,LSGL,39d565_2026-01-26 16:11:15,LFPN
4b3303,RGA04,2026-01-26T17:23:02Z,2026-01-26,2026-01-26T17:56:07Z,2026-01-26,LSGL,4b3303_2026-01-26 18:23:02,LSGL
4b3303,RGA04,2026-01-26T22:53:35Z,2026-01-26,2026-01-26T23:15:20Z,2026-01-27,LSGL,4b3303_2026-01-26 23:53:35,LSGL
4b3303,RGA04,2026-01-26T22:53:44Z,2026-01-26,2026-01-26T23:15:38Z,2026-01-27,LSGL,4b3303_2026-01-26 23:53:44,NA
