ICAO24,call_sign,departure_time,departure_date,arrival_time,arrival_date,departure_airport_ICAO,id,destination_airport_ICAO
4b1bdd,HBKOJ,2026-01-18T09:39:48Z,2026-01-18,2026-01-18T10:28:48Z,2026-01-18,LSGL,4b1bdd_2026-01-18 10:39:48,LSGL
4b1af2,HBKFI,2026-01-18T10:13:06Z,2026-01-18,2026-01-18T10:59:34Z,2026-01-18,LSGL,4b1af2_2026-01-18 11:13:06,LSGL
4b1bdd,HBKOJ,2026-01-18T11:49:30Z,2026-01-18,2026-01-18T12:29:32Z,2026-01-18,LSGL,4b1bdd_2026-01-18 12:49:30,LSGL
4b1af2,HBKFI,2026-01-18T12:58:04Z,2026-01-18,2026-01-18T13:55:08Z,2026-01-18,LSGL,4b1af2_2026-01-18 13:58:04,LSGL
4b27bf,HBPBJ,2026-01-18T12:59:06Z,2026-01-18,2026-01-18T13:21:31Z,2026-01-18,LSGL,4b27bf_2026-01-18 13:59:06,LSGG
4b32fe,RGA04,2026-01-18T13:35:23Z,2026-01-18,2026-01-18T13:47:40Z,2026-01-18,LSGL,4b32fe_2026-01-18 14:35:23,LSGK
4d02de,JFA21W,2026-01-18T13:47:25Z,2026-01-18,2026-01-18T14:17:28Z,2026-01-18,LSGL,4d02de_2026-01-18 14:47:25,LFLS
4b32fd,RGA03,2026-01-18T14:16:22Z,2026-01-18,2026-01-18T14:45:18Z,2026-01-18,LSGL,4b32fd_2026-01-18 15:16:22,LSZB
4b32fe,RGA04,2026-01-18T18:13:17Z,2026-01-18,2026-01-18T18:30:59Z,2026-01-18,LSGL,4b32fe_2026-01-18 19:13:17,LSGC
4b32fe,RGA04,2026-01-18T19:51:52Z,2026-01-18,2026-01-18T19:54:02Z,2026-01-18,LSGL,4b32fe_2026-01-18 20:51:52,NA
