ICAO24,call_sign,departure_time,departure_date,arrival_time,arrival_date,departure_airport_ICAO,id,destination_airport_ICAO
4b28b1,HBPKR,2026-02-20T10:21:21Z,2026-02-20,2026-02-20T10:58:18Z,2026-02-20,LSGL,4b28b1_2026-02-20 11:21:21,LSGL
4b1af2,HBKFI,2026-02-20T12:00:53Z,2026-02-20,2026-02-20T12:22:26Z,2026-02-20,LSGL,4b1af2_2026-02-20 13:00:53,LSGL
4b3e2c,AGV02,2026-02-20T12:11:22Z,2026-02-20,2026-02-20T12:22:24Z,2026-02-20,LSGL,4b3e2c_2026-02-20 13:11:22,LSGB
4b44a5,HBZZX,2026-02-20T12:12:35Z,2026-02-20,2026-02-20T12:29:57Z,2026-02-20,LSGL,4b44a5_2026-02-20 13:12:35,LSGT
4b1af2,HBKFI,2026-02-20T12:46:51Z,2026-02-20,2026-02-20T12:57:13Z,2026-02-20,LSGL,4b1af2_2026-02-20 13:46:51,LSGL
4b27c0,HBPBK,2026-02-20T12:59:34Z,2026-02-20,2026-02-20T13:32:58Z,2026-02-20,LSGL,4b27c0_2026-02-20 13:59:34,LSZB
4b25ea,HBOJI,2026-02-20T14:26:45Z,2026-02-20,2026-02-20T15:06:18Z,2026-02-20,LSGL,4b25ea_2026-02-20 15:26:45,LSGL
4b1af2,HBKFI,2026-02-20T14:57:35Z,2026-02-20,2026-02-20T15:49:29Z,2026-02-20,LSGL,4b1af2_2026-02-20 15:57:35,LSGL
460d8a,FSF601A,2026-02-20T15:20:43Z,2026-02-20,2026-02-20T17:18:10Z,2026-02-20,LSGL,460d8a_2026-02-20 16:20:43,EGTF
4b1af2,HBKFI,2026-02-20T16:17:33Z,2026-02-20,2026-02-20T17:05:51Z,2026-02-20,LSGL,4b1af2_2026-02-20 17:17:33,LSGL
4b3303,RGA04,2026-02-20T19:13:53Z,2026-02-20,2026-02-20T19:16:18Z,2026-02-20,LSGL,4b3303_2026-02-20 20:13:53,NA
