ICAO24,call_sign,departure_time,departure_date,arrival_time,arrival_date,departure_airport_ICAO,id,destination_airport_ICAO
4b0f70,HBFWA,2026-02-09T07:55:33Z,2026-02-09,2026-02-09T08:15:05Z,2026-02-09,LSGL,4b0f70_2026-02-09 08:55:33,LFHN
4b28b1,HBPKR,2026-02-09T11:09:46Z,2026-02-09,2026-02-09T11:42:24Z,2026-02-09,LSGL,4b28b1_2026-02-09 12:09:46,LSZB
4d02bd,JFA28H,2026-02-09T11:21:40Z,2026-02-09,2026-02-09T12:25:53Z,2026-02-09,LSGL,4d02bd_2026-02-09 12:21:40,LFPB
4b1af2,HBKFI,2026-02-09T13:05:57Z,2026-02-09,2026-02-09T14:12:59Z,2026-02-09,LSGL,4b1af2_2026-02-09 14:05:57,LSGE
4b3303,RGA04,2026-02-09T13:09:32Z,2026-02-09,2026-02-09T13:26:27Z,2026-02-09,LSGL,4b3303_2026-02-09 14:09:32,LSGN
4b39c9,HBVWZ,2026-02-09T13:19:16Z,2026-02-09,2026-02-09T14:38:29Z,2026-02-09,LSGL,4b39c9_2026-02-09 14:19:16,LIRA
4b25ea,HBOJI,2026-02-09T13:21:12Z,2026-02-09,2026-02-09T13:41:51Z,2026-02-09,LSGL,4b25ea_2026-02-09 14:21:12,LSGL
4b4471,HBZXX,2026-02-09T13:30:14Z,2026-02-09,2026-02-09T14:21:14Z,2026-02-09,LSGL,4b4471_2026-02-09 14:30:14,LSZX
a4330b,N37SJ,2026-02-09T13:51:01Z,2026-02-09,2026-02-09T14:18:05Z,2026-02-09,LSGL,a4330b_2026-02-09 14:51:01,LSTZ
a14d7c,N183TB,2026-02-09T14:26:35Z,2026-02-09,2026-02-09T15:31:04Z,2026-02-09,LSGL,a14d7c_2026-02-09 15:26:35,LFMD
4b28b1,HBPKR,2026-02-09T14:30:06Z,2026-02-09,2026-02-09T15:13:41Z,2026-02-09,LSGL,4b28b1_2026-02-09 15:30:06,LSGL
4b1bdd,HBKOJ,2026-02-09T14:32:26Z,2026-02-09,2026-02-09T14:46:17Z,2026-02-09,LSGL,4b1bdd_2026-02-09 15:32:26,LSGE
4b1e44,HBLMA,2026-02-09T14:45:44Z,2026-02-09,2026-02-09T15:30:34Z,2026-02-09,LSGL,4b1e44_2026-02-09 15:45:44,LSZG
4b4455,HBZWV,2026-02-09T14:55:41Z,2026-02-09,2026-02-09T15:38:42Z,2026-02-09,LSGL,4b4455_2026-02-09 15:55:41,LSZL
4b28b1,HBPKR,2026-02-09T15:50:36Z,2026-02-09,2026-02-09T16:42:35Z,2026-02-09,LSGL,4b28b1_2026-02-09 16:50:36,LSGL
4b3303,RGA04,2026-02-09T17:48:37Z,2026-02-09,2026-02-09T18:25:29Z,2026-02-09,LSGL,4b3303_2026-02-09 18:48:37,LSGB
4b3305,RGA18,2026-02-09T20:55:00Z,2026-02-09,2026-02-09T21:08:59Z,2026-02-09,LSGL,4b3305_2026-02-09 21:55:00,LSGB
4b3305,RGA18,2026-02-09T20:55:17Z,2026-02-09,2026-02-09T21:09:18Z,2026-02-09,LSGL,4b3305_2026-02-09 21:55:17,NA
