ICAO24,call_sign,departure_time,departure_date,arrival_time,arrival_date,departure_airport_ICAO,id,destination_airport_ICAO
4b1bdd,HBKOJ,2026-02-08T09:45:34Z,2026-02-08,2026-02-08T10:47:50Z,2026-02-08,LSGL,4b1bdd_2026-02-08 10:45:34,LSGL
4b3303,RGA04,2026-02-08T10:51:18Z,2026-02-08,2026-02-08T11:05:50Z,2026-02-08,LSGL,4b3303_2026-02-08 11:51:18,LSGB
4b28b1,HBPKR,2026-02-08T10:57:22Z,2026-02-08,2026-02-08T12:09:36Z,2026-02-08,LSGL,4b28b1_2026-02-08 11:57:22,LSZB
4627c1,FSF402A,2026-02-08T11:59:46Z,2026-02-08,2026-02-08T12:56:22Z,2026-02-08,LSGL,4627c1_2026-02-08 12:59:46,LFMN
4b25ea,HBOJI,2026-02-08T12:35:49Z,2026-02-08,2026-02-08T13:29:46Z,2026-02-08,LSGL,4b25ea_2026-02-08 13:35:49,LSGL
461838,FSF344H,2026-02-08T13:39:41Z,2026-02-08,2026-02-08T14:40:38Z,2026-02-08,LSGL,461838_2026-02-08 14:39:41,LFMN
4b3302,RGA15,2026-02-08T14:18:19Z,2026-02-08,2026-02-08T14:29:41Z,2026-02-08,LSGL,4b3302_2026-02-08 15:18:19,LSGB
4b4455,HBZWV,2026-02-08T14:33:47Z,2026-02-08,2026-02-08T15:18:29Z,2026-02-08,LSGL,4b4455_2026-02-08 15:33:47,LSZL
4b3304,RGA02,2026-02-08T14:42:22Z,2026-02-08,2026-02-08T15:36:08Z,2026-02-08,LSGL,4b3304_2026-02-08 15:42:22,LSZM
39d565,FHVLF,2026-02-08T16:13:04Z,2026-02-08,2026-02-08T17:47:14Z,2026-02-08,LSGL,39d565_2026-02-08 17:13:04,LFPN
4d02a4,JFA70Z,2026-02-08T17:00:45Z,2026-02-08,2026-02-08T17:19:44Z,2026-02-08,LSGL,4d02a4_2026-02-08 18:00:45,LFHN
4b3303,RGA04,2026-02-08T17:31:38Z,2026-02-08,2026-02-08T17:35:37Z,2026-02-08,LSGL,4b3303_2026-02-08 18:31:38,NA
