ICAO24,call_sign,departure_time,departure_date,arrival_time,arrival_date,departure_airport_ICAO,destination_airport_ICAO,id
4b32fd,RGA03,2025-12-30T09:02:46Z,2025-12-30,2025-12-30T09:22:29Z,2025-12-30,LSGL,LSGN,4b32fd_2025-12-30 10:02:46
46316e,FSF314Z,2025-12-30T10:00:21Z,2025-12-30,2025-12-30T11:04:54Z,2025-12-30,LSGL,LFPB,46316e_2025-12-30 11:00:21
4b2919,HBPOR,2025-12-30T12:31:39Z,2025-12-30,2025-12-30T12:50:54Z,2025-12-30,LSGL,LSGN,4b2919_2025-12-30 13:31:39
4b3303,RGA04,2025-12-30T13:45:10Z,2025-12-30,2025-12-30T14:04:58Z,2025-12-30,LSGL,LSGB,4b3303_2025-12-30 14:45:10
4b3305,RGA18,2025-12-30T13:55:39Z,2025-12-30,2025-12-30T14:07:11Z,2025-12-30,LSGL,LSGB,4b3305_2025-12-30 14:55:39
