ICAO24,call_sign,departure_time,departure_date,arrival_time,arrival_date,departure_airport_ICAO,id,destination_airport_ICAO
461fbd,FSF506L,2025-12-26T07:38:35Z,2025-12-26,2025-12-26T08:38:30Z,2025-12-26,LSGL,461fbd_2025-12-26 08:38:35,LFTH
46316e,FSF432A,2025-12-26T09:17:42Z,2025-12-26,2025-12-26T10:24:12Z,2025-12-26,LSGL,46316e_2025-12-26 10:17:42,EDFE
4b3303,RGA04,2025-12-26T10:21:54Z,2025-12-26,2025-12-26T10:32:52Z,2025-12-26,LSGL,4b3303_2025-12-26 11:21:54,LSTO
461fbd,FSF844A,2025-12-26T12:05:15Z,2025-12-26,2025-12-26T13:36:51Z,2025-12-26,LSGL,461fbd_2025-12-26 13:05:15,LIRZ
461553,FSF206M,2025-12-26T13:36:10Z,2025-12-26,2025-12-26T13:55:52Z,2025-12-26,LSGL,461553_2025-12-26 14:36:10,LFLB
4b3303,RGA04,2025-12-26T13:46:40Z,2025-12-26,2025-12-26T13:57:26Z,2025-12-26,LSGL,4b3303_2025-12-26 14:46:40,LSGB
4b32fe,RGA15,2025-12-26T16:18:11Z,2025-12-26,2025-12-26T16:40:19Z,2025-12-26,LSGL,4b32fe_2025-12-26 17:18:11,LSGG
4b32fe,RGA15,2025-12-26T16:18:26Z,2025-12-26,2025-12-26T16:40:56Z,2025-12-26,LSGL,4b32fe_2025-12-26 17:18:26,NA
