ICAO24,call_sign,departure_time,departure_date,arrival_time,arrival_date,departure_airport_ICAO,destination_airport_ICAO,id
4b28b1,HBPKR,2025-12-17T10:59:26Z,2025-12-17,2025-12-17T11:38:59Z,2025-12-17,LSGL,LSGL,4b28b1_2025-12-17 11:59:26
44c062,PGC42R,2025-12-17T11:03:58Z,2025-12-17,2025-12-17T11:22:28Z,2025-12-17,LSGL,LFKA,44c062_2025-12-17 12:03:58
46104c,OHGEM,2025-12-17T14:09:01Z,2025-12-17,2025-12-17T14:58:06Z,2025-12-17,LSGL,LFLC,46104c_2025-12-17 15:09:01
4b28b1,HBPKR,2025-12-17T14:16:53Z,2025-12-17,2025-12-17T14:56:30Z,2025-12-17,LSGL,LSGL,4b28b1_2025-12-17 15:16:53
4b44a5,HBZZX,2025-12-17T14:37:30Z,2025-12-17,2025-12-17T14:49:05Z,2025-12-17,LSGL,LSGT,4b44a5_2025-12-17 15:37:30
4b3305,RGA18,2025-12-17T19:35:20Z,2025-12-17,2025-12-17T19:47:37Z,2025-12-17,LSGL,LSGB,4b3305_2025-12-17 20:35:20
