ICAO24,call_sign,departure_time,departure_date,arrival_time,arrival_date,departure_airport_ICAO,id,destination_airport_ICAO
4b43b1,RGA04,2023-03-22T06:16:04Z,2023-03-22,2023-03-22T06:26:50Z,2023-03-22,LSGL,4b43b1_2023-03-22 07:16:04,LSGP
391a38,HBOJI,2023-03-22T08:18:19Z,2023-03-22,2023-03-22T08:47:20Z,2023-03-22,LSGL,391a38_2023-03-22 09:18:19,LSZB
461fbd,FSF944J,2023-03-22T08:22:41Z,2023-03-22,2023-03-22T08:58:09Z,2023-03-22,LSGL,461fbd_2023-03-22 09:22:41,LFHH
4b1b13,HBKGP,2023-03-22T08:49:14Z,2023-03-22,2023-03-22T09:38:40Z,2023-03-22,LSGL,4b1b13_2023-03-22 09:49:14,LSGN
4b28e3,HBPMP,2023-03-22T09:06:40Z,2023-03-22,2023-03-22T09:30:43Z,2023-03-22,LSGL,4b28e3_2023-03-22 10:06:40,LSGL
4b43b2,RGA18,2023-03-22T10:46:17Z,2023-03-22,2023-03-22T11:08:36Z,2023-03-22,LSGL,4b43b2_2023-03-22 11:46:17,LSGB
4b1b0b,HBKGH,2023-03-22T10:53:12Z,2023-03-22,2023-03-22T12:12:45Z,2023-03-22,LSGL,4b1b0b_2023-03-22 11:53:12,LSZL
a955fe,N700QT,2023-03-22T11:51:19Z,2023-03-22,2023-03-22T12:08:21Z,2023-03-22,LSGL,a955fe_2023-03-22 12:51:19,LSGG
4b43b1,RGA04,2023-03-22T12:54:01Z,2023-03-22,2023-03-22T13:08:57Z,2023-03-22,LSGL,4b43b1_2023-03-22 13:54:01,LSGN
4b44a5,HBZZX,2023-03-22T13:04:41Z,2023-03-22,2023-03-22T14:25:49Z,2023-03-22,LSGL,4b44a5_2023-03-22 14:04:41,LSGL
391a38,HBOJI,2023-03-22T13:15:53Z,2023-03-22,2023-03-22T13:49:57Z,2023-03-22,LSGL,391a38_2023-03-22 14:15:53,LSGE
4b40c8,HBYNW,2023-03-22T13:24:07Z,2023-03-22,2023-03-22T13:59:13Z,2023-03-22,LSGL,4b40c8_2023-03-22 14:24:07,LSZQ
4b4045,HBYIV,2023-03-22T13:32:06Z,2023-03-22,2023-03-22T15:26:27Z,2023-03-22,LSGL,4b4045_2023-03-22 14:32:06,LSZF
44c06a,OOPCJ,2023-03-22T13:46:16Z,2023-03-22,2023-03-22T15:06:58Z,2023-03-22,LSGL,44c06a_2023-03-22 14:46:16,EHBD
4b4271,HBZEF,2023-03-22T14:30:37Z,2023-03-22,2023-03-22T14:43:20Z,2023-03-22,LSGL,4b4271_2023-03-22 15:30:37,LSGB
4b3200,HBSYI,2023-03-22T15:30:46Z,2023-03-22,2023-03-22T15:55:23Z,2023-03-22,LSGL,4b3200_2023-03-22 16:30:46,LSGL
4b0f70,HBFWA,2023-03-22T15:47:37Z,2023-03-22,2023-03-22T16:03:52Z,2023-03-22,LSGL,4b0f70_2023-03-22 16:47:37,LSZB
4b43b1,RGA04,2023-03-22T20:37:30Z,2023-03-22,2023-03-22T20:50:09Z,2023-03-22,LSGL,4b43b1_2023-03-22 21:37:30,LSGP
4b43b1,RGA04,2023-03-22T22:17:31Z,2023-03-22,2023-03-22T22:19:42Z,2023-03-22,LSGL,4b43b1_2023-03-22 23:17:31,NA
