ICAO24,call_sign,departure_time,departure_date,arrival_time,arrival_date,departure_airport_ICAO,destination_airport_ICAO,id
3981ad,FHANN,2023-01-12T09:28:08Z,2023-01-12,2023-01-12T10:09:53Z,2023-01-12,LFOK,LSGL,3981ad_2023-01-12 10:28:08
391a38,HBOJI,2023-01-12T09:49:22Z,2023-01-12,2023-01-12T10:19:38Z,2023-01-12,LSGL,LSGL,391a38_2023-01-12 10:49:22
4b43b1,RGA04,2023-01-12T11:52:20Z,2023-01-12,2023-01-12T12:02:24Z,2023-01-12,LSGB,LSGL,4b43b1_2023-01-12 12:52:20
391a38,HBOJI,2023-01-12T12:49:30Z,2023-01-12,2023-01-12T13:34:39Z,2023-01-12,LSGL,LSGL,391a38_2023-01-12 13:49:30
