ICAO24,call_sign,departure_time,departure_date,arrival_time,arrival_date,departure_airport_ICAO,id,destination_airport_ICAO
4627c1,FSF721H,2022-11-04T09:31:03Z,2022-11-04,2022-11-04T09:44:50Z,2022-11-04,LSGL,4627c1_2022-11-04 10:31:03,LSZB
461fbd,FSF12N,2022-11-04T13:01:43Z,2022-11-04,2022-11-04T13:12:09Z,2022-11-04,LSGL,461fbd_2022-11-04 14:01:43,LSGG
461fbd,FSF12N,2022-11-04T13:01:55Z,2022-11-04,2022-11-04T13:12:17Z,2022-11-04,LSGL,461fbd_2022-11-04 14:01:55,NA
