ICAO24,call_sign,departure_time,departure_date,arrival_time,arrival_date,departure_airport_ICAO,destination_airport_ICAO,id
4b1af2,HBKFI,2022-09-23T07:52:27Z,2022-09-23,2022-09-23T08:19:46Z,2022-09-23,LSGL,LSGL,4b1af2_2022-09-23 09:52:27
4b1af2,HBKFI,2022-09-23T07:52:27Z,2022-09-23,2022-09-23T08:19:46Z,2022-09-23,LSGL,LSGL,4b1af2_2022-09-23 09:52:27
4b3200,HBSYI,2022-09-23T08:17:41Z,2022-09-23,2022-09-23T09:09:23Z,2022-09-23,LSGL,LSGL,4b3200_2022-09-23 10:17:41
4b3200,HBSYI,2022-09-23T08:17:41Z,2022-09-23,2022-09-23T09:09:23Z,2022-09-23,LSGL,LSGL,4b3200_2022-09-23 10:17:41
4b3fc2,HBYDU,2022-09-23T09:39:09Z,2022-09-23,2022-09-23T10:18:19Z,2022-09-23,LSZG,LSGL,4b3fc2_2022-09-23 11:39:09
4b3fc2,HBYDU,2022-09-23T09:39:09Z,2022-09-23,2022-09-23T10:18:19Z,2022-09-23,LSZG,LSGL,4b3fc2_2022-09-23 11:39:09
462dd1,FSF232S,2022-09-23T09:46:08Z,2022-09-23,2022-09-23T09:58:11Z,2022-09-23,LSGG,LSGL,462dd1_2022-09-23 11:46:08
462dd1,FSF232S,2022-09-23T09:46:08Z,2022-09-23,2022-09-23T09:58:11Z,2022-09-23,LSGG,LSGL,462dd1_2022-09-23 11:46:08
391a38,HBOJI,2022-09-23T12:09:03Z,2022-09-23,2022-09-23T13:07:38Z,2022-09-23,LSGL,LSGL,391a38_2022-09-23 14:09:03
391a38,HBOJI,2022-09-23T12:09:03Z,2022-09-23,2022-09-23T13:07:38Z,2022-09-23,LSGL,LSGL,391a38_2022-09-23 14:09:03
461fbd,FSF12N,2022-09-23T13:01:02Z,2022-09-23,2022-09-23T13:20:46Z,2022-09-23,LFGJ,LSGL,461fbd_2022-09-23 15:01:02
461fbd,FSF12N,2022-09-23T13:01:02Z,2022-09-23,2022-09-23T13:20:46Z,2022-09-23,LFGJ,LSGL,461fbd_2022-09-23 15:01:02
4b43ad,RGA04,2022-09-23T13:45:15Z,2022-09-23,2022-09-23T14:41:37Z,2022-09-23,LSGL,LSGL,4b43ad_2022-09-23 15:45:15
4b43ad,RGA04,2022-09-23T13:45:15Z,2022-09-23,2022-09-23T14:41:37Z,2022-09-23,LSGL,LSGL,4b43ad_2022-09-23 15:45:15
461108,FSF801P,2022-09-23T13:59:58Z,2022-09-23,2022-09-23T14:57:58Z,2022-09-23,LFOT,LSGL,461108_2022-09-23 15:59:58
461108,FSF801P,2022-09-23T13:59:58Z,2022-09-23,2022-09-23T14:57:58Z,2022-09-23,LFOT,LSGL,461108_2022-09-23 15:59:58
4b1bdd,HBKOJ,2022-09-23T15:07:38Z,2022-09-23,2022-09-23T15:23:28Z,2022-09-23,LSGK,LSGL,4b1bdd_2022-09-23 17:07:38
4b1bdd,HBKOJ,2022-09-23T15:07:38Z,2022-09-23,2022-09-23T15:23:28Z,2022-09-23,LSGK,LSGL,4b1bdd_2022-09-23 17:07:38
4b1af2,HBKFI,2022-09-23T15:42:38Z,2022-09-23,2022-09-23T16:06:00Z,2022-09-23,NA,LSGL,4b1af2_2022-09-23 17:42:38
4b1af2,HBKFI,2022-09-23T15:42:38Z,2022-09-23,2022-09-23T16:06:00Z,2022-09-23,NA,LSGL,4b1af2_2022-09-23 17:42:38
