ICAO24,call_sign,departure_time,departure_date,arrival_time,arrival_date,departure_airport_ICAO,id,destination_airport_ICAO
4b0f56,HBFVA,2022-10-28T06:11:41Z,2022-10-28,2022-10-28T08:05:33Z,2022-10-28,LSGL,4b0f56_2022-10-28 08:11:41,EGTF
4b3200,HBSYI,2022-10-28T06:37:05Z,2022-10-28,2022-10-28T07:11:29Z,2022-10-28,LSGL,4b3200_2022-10-28 08:37:05,LSGL
4b1bfd,HBKPP,2022-10-28T07:25:12Z,2022-10-28,2022-10-28T07:42:54Z,2022-10-28,LSGL,4b1bfd_2022-10-28 09:25:12,LFLI
a05770,N121AG,2022-10-28T07:45:41Z,2022-10-28,2022-10-28T10:42:46Z,2022-10-28,LSGL,a05770_2022-10-28 09:45:41,LFFK
4b3200,HBSYI,2022-10-28T08:35:00Z,2022-10-28,2022-10-28T09:16:28Z,2022-10-28,LSGL,4b3200_2022-10-28 10:35:00,LSGL
4b43ad,RGA04,2022-10-28T08:51:10Z,2022-10-28,2022-10-28T09:02:28Z,2022-10-28,LSGL,4b43ad_2022-10-28 10:51:10,LSGL
4b0f7e,HBFWO,2022-10-28T09:22:43Z,2022-10-28,2022-10-28T09:46:45Z,2022-10-28,LSGL,4b0f7e_2022-10-28 11:22:43,LSZC
4b1b16,HBKGS,2022-10-28T10:05:30Z,2022-10-28,2022-10-28T11:06:51Z,2022-10-28,LSGL,4b1b16_2022-10-28 12:05:30,LSZL
391a38,HBOJI,2022-10-28T10:08:48Z,2022-10-28,2022-10-28T10:57:11Z,2022-10-28,LSGL,391a38_2022-10-28 12:08:48,LSGL
460861,FSF180M,2022-10-28T10:39:55Z,2022-10-28,2022-10-28T11:29:49Z,2022-10-28,LSGL,460861_2022-10-28 12:39:55,ELLX
4b43ad,RGA04,2022-10-28T11:14:00Z,2022-10-28,2022-10-28T11:29:15Z,2022-10-28,LSGL,4b43ad_2022-10-28 13:14:00,LSGN
4b1af2,HBKFI,2022-10-28T11:28:05Z,2022-10-28,2022-10-28T12:35:58Z,2022-10-28,LSGL,4b1af2_2022-10-28 13:28:05,LSGL
4b2964,HBPRO,2022-10-28T11:37:38Z,2022-10-28,2022-10-28T12:00:23Z,2022-10-28,LSGL,4b2964_2022-10-28 13:37:38,LSZB
391a38,HBOJI,2022-10-28T12:06:39Z,2022-10-28,2022-10-28T12:49:58Z,2022-10-28,LSGL,391a38_2022-10-28 14:06:39,LSGL
4b1bdd,HBKOJ,2022-10-28T13:24:33Z,2022-10-28,2022-10-28T14:10:17Z,2022-10-28,LSGL,4b1bdd_2022-10-28 15:24:33,LSGE
391a38,HBOJI,2022-10-28T13:33:30Z,2022-10-28,2022-10-28T14:02:01Z,2022-10-28,LSGL,391a38_2022-10-28 15:33:30,LSGL
30083c,IHCBB,2022-10-28T13:45:41Z,2022-10-28,2022-10-28T15:11:53Z,2022-10-28,LSGL,30083c_2022-10-28 15:45:41,LIPB
4b4414,HBZUI,2022-10-28T14:25:10Z,2022-10-28,2022-10-28T14:37:11Z,2022-10-28,LSGL,4b4414_2022-10-28 16:25:10,LSGB
4b1af2,HBKFI,2022-10-28T15:15:10Z,2022-10-28,2022-10-28T16:09:36Z,2022-10-28,LSGL,4b1af2_2022-10-28 17:15:10,LSGL
4d02b7,JFA04H,2022-10-28T16:02:18Z,2022-10-28,2022-10-28T17:02:43Z,2022-10-28,LSGL,4d02b7_2022-10-28 18:02:18,LFPB
4d02b7,JFA04H,2022-10-28T16:02:30Z,2022-10-28,2022-10-28T17:03:12Z,2022-10-28,LSGL,4d02b7_2022-10-28 18:02:30,NA
