ICAO24,call_sign,departure_time,departure_date,arrival_time,arrival_date,departure_airport_ICAO,destination_airport_ICAO,id
4b43ad,RGA04,2022-10-05T01:21:36Z,2022-10-05,2022-10-05T01:31:49Z,2022-10-05,LSGP,LSGL,4b43ad_2022-10-05 03:21:36
4b2c60,HBQUY,2022-10-05T05:55:47Z,2022-10-05,2022-10-05T07:29:06Z,2022-10-05,NA,LSGL,4b2c60_2022-10-05 07:55:47
4b1af2,HBKFI,2022-10-05T06:18:41Z,2022-10-05,2022-10-05T06:46:18Z,2022-10-05,LSGL,LSGL,4b1af2_2022-10-05 08:18:41
391a38,HBOJI,2022-10-05T06:25:11Z,2022-10-05,2022-10-05T07:38:57Z,2022-10-05,LSGL,LSGL,391a38_2022-10-05 08:25:11
4b1af2,HBKFI,2022-10-05T07:11:50Z,2022-10-05,2022-10-05T07:40:48Z,2022-10-05,LSGL,LSGL,4b1af2_2022-10-05 09:11:50
4b28e3,HBPMP,2022-10-05T08:10:51Z,2022-10-05,2022-10-05T09:08:56Z,2022-10-05,LSGL,LSGL,4b28e3_2022-10-05 10:10:51
4b1af2,HBKFI,2022-10-05T08:25:22Z,2022-10-05,2022-10-05T09:32:19Z,2022-10-05,LSGL,LSGL,4b1af2_2022-10-05 10:25:22
461838,FSF384E,2022-10-05T08:27:04Z,2022-10-05,2022-10-05T08:55:57Z,2022-10-05,LFLS,LSGL,461838_2022-10-05 10:27:04
4b1bdd,HBKOJ,2022-10-05T08:40:36Z,2022-10-05,2022-10-05T09:01:45Z,2022-10-05,NA,LSGL,4b1bdd_2022-10-05 10:40:36
4b1b0b,HBKGH,2022-10-05T09:24:10Z,2022-10-05,2022-10-05T11:10:20Z,2022-10-05,LSZL,LSGL,4b1b0b_2022-10-05 11:24:10
4b058d,HBCCR,2022-10-05T10:07:11Z,2022-10-05,2022-10-05T10:32:44Z,2022-10-05,LSZG,LSGL,4b058d_2022-10-05 12:07:11
4b1af2,HBKFI,2022-10-05T10:34:15Z,2022-10-05,2022-10-05T11:05:26Z,2022-10-05,LSGL,LSGL,4b1af2_2022-10-05 12:34:15
4d02a5,JFA36M,2022-10-05T10:47:04Z,2022-10-05,2022-10-05T11:40:05Z,2022-10-05,ELLX,LSGL,4d02a5_2022-10-05 12:47:04
4b1af2,HBKFI,2022-10-05T11:33:48Z,2022-10-05,2022-10-05T12:04:15Z,2022-10-05,LSGL,LSGL,4b1af2_2022-10-05 13:33:48
391a38,HBOJI,2022-10-05T12:09:30Z,2022-10-05,2022-10-05T12:49:58Z,2022-10-05,LSGL,LSGL,391a38_2022-10-05 14:09:30
4b28e3,HBPMP,2022-10-05T12:23:17Z,2022-10-05,2022-10-05T14:00:17Z,2022-10-05,LSGL,LSGL,4b28e3_2022-10-05 14:23:17
4b1bdd,HBKOJ,2022-10-05T12:58:34Z,2022-10-05,2022-10-05T13:57:36Z,2022-10-05,LSGL,LSGL,4b1bdd_2022-10-05 14:58:34
391a38,HBOJI,2022-10-05T13:33:14Z,2022-10-05,2022-10-05T14:12:49Z,2022-10-05,LSGL,LSGL,391a38_2022-10-05 15:33:14
4b43af,RGA03,2022-10-05T13:50:02Z,2022-10-05,2022-10-05T14:03:15Z,2022-10-05,LSTO,LSGL,4b43af_2022-10-05 15:50:02
4b1af2,HBKFI,2022-10-05T15:26:45Z,2022-10-05,2022-10-05T15:55:40Z,2022-10-05,LSGL,LSGL,4b1af2_2022-10-05 17:26:45
391a38,HBOJI,2022-10-05T15:38:18Z,2022-10-05,2022-10-05T15:49:58Z,2022-10-05,LSGY,LSGL,391a38_2022-10-05 17:38:18
4b1bdd,HBKOJ,2022-10-05T15:53:17Z,2022-10-05,2022-10-05T16:15:58Z,2022-10-05,LSGL,LSGL,4b1bdd_2022-10-05 17:53:17
460861,OHDEN,2022-10-05T15:56:04Z,2022-10-05,2022-10-05T16:18:30Z,2022-10-05,LSPG,LSGL,460861_2022-10-05 17:56:04
4b43ad,RGA04,2022-10-05T18:14:15Z,2022-10-05,2022-10-05T18:34:08Z,2022-10-05,LSGL,LSGL,4b43ad_2022-10-05 20:14:15
4b43ad,RGA04,2022-10-05T21:18:30Z,2022-10-05,2022-10-05T21:43:03Z,2022-10-05,LSZB,LSGL,4b43ad_2022-10-05 23:18:30
